MSC1891002672,8/28/2018,Case Was Received,April 13 2018,I-485,No Change
MSC1891002673,8/28/2018,Case Was Received,April 13 2018,I-485,No Change
MSC1891002939,8/28/2018,Case Was Received,April 13 2018,I-765,No Change
MSC1891003097,8/28/2018,Case Was Received,April 13 2018,I-765,No Change
MSC1891003098,8/28/2018,Case Was Received,April 13 2018,I-131,No Change
MSC1891003099,8/28/2018,Case Was Received,April 13 2018,I-131,No Change
MSC1891003100,8/28/2018,Case Was Received,April 13 2018,I-765,No Change
MSC1891003101,8/28/2018,Case Was Received,April 13 2018,I-131,No Change
MSC1891003102,8/28/2018,Case Was Received,April 13 2018,I-131,No Change
MSC1891003293,8/28/2018,Case Was Received,April 13 2018,I-131,No Change
MSC1891002848,8/28/2018,Case Was Received,April 16 2018,I-131,No Change
MSC1891002849,8/28/2018,Case Was Received,April 16 2018,I-765,No Change
MSC1891002851,8/28/2018,Case Was Received,April 16 2018,I-765,No Change
MSC1891002852,8/28/2018,Case Was Received,April 16 2018,I-131,No Change
MSC1891002854,8/28/2018,Case Was Received,April 16 2018,I-131,No Change
MSC1891002857,8/28/2018,Case Was Received,April 16 2018,I-131,No Change
MSC1891002867,8/28/2018,Case Was Received,April 16 2018,I-131,No Change
MSC1891002869,8/28/2018,Case Was Received,April 16 2018,I-131,No Change
MSC1891002941,8/28/2018,Case Was Received,April 16 2018,I-131,No Change
MSC1891002942,8/28/2018,Case Was Received,April 16 2018,I-765,No Change
MSC1891002944,8/28/2018,Case Was Received,April 16 2018,I-131,No Change
MSC1891002946,8/28/2018,Case Was Received,April 16 2018,I-485,No Change
MSC1891002947,8/28/2018,Case Was Received,April 16 2018,I-131,No Change
MSC1891002949,8/28/2018,Case Was Received,April 16 2018,I-765,No Change
MSC1891002950,8/28/2018,Case Was Received,April 16 2018,I-131,No Change
MSC1891002952,8/28/2018,Case Was Received,April 16 2018,I-765,No Change
MSC1891002953,8/28/2018,Case Was Received,April 16 2018,I-131,No Change
MSC1891002955,8/28/2018,Case Was Received,April 16 2018,I-765,No Change
MSC1891002956,8/28/2018,Case Was Received,April 16 2018,I-131,No Change
MSC1891002978,8/28/2018,Case Was Received,April 16 2018,I-131,No Change
MSC1891002980,8/28/2018,Case Was Received,April 16 2018,I-131,No Change
MSC1891002983,8/28/2018,Case Was Received,April 16 2018,I-131,No Change
MSC1891002986,8/28/2018,Case Was Received,April 16 2018,I-131,No Change
MSC1891002989,8/28/2018,Case Was Received,April 16 2018,I-131,No Change
MSC1891002990,8/28/2018,Case Was Received,April 16 2018,I-765,No Change
MSC1891002992,8/28/2018,Case Was Received,April 16 2018,I-131,No Change
MSC1891002995,8/28/2018,Case Was Received,April 16 2018,I-131,No Change
MSC1891002998,8/28/2018,Case Was Received,April 16 2018,I-131,No Change
MSC1891003001,8/28/2018,Case Was Received,April 16 2018,I-131,No Change
MSC1891003004,8/28/2018,Case Was Received,April 16 2018,I-131,No Change
MSC1891003005,8/28/2018,Case Was Received,April 16 2018,I-765,No Change
MSC1891003007,8/28/2018,Case Was Received,April 16 2018,I-765,No Change
MSC1891003008,8/28/2018,Case Was Received,April 16 2018,I-131,No Change
MSC1891003012,8/28/2018,Case Was Received,April 16 2018,I-131,No Change
MSC1891003013,8/28/2018,Case Was Received,April 16 2018,I-765,No Change
MSC1891003014,8/28/2018,Case Was Received,April 16 2018,I-485,No Change
MSC1891003015,8/28/2018,Case Was Received,April 16 2018,I-131,No Change
MSC1891003016,8/28/2018,Case Was Received,April 16 2018,I-765,No Change
MSC1891003018,8/28/2018,Case Was Received,April 16 2018,I-131,No Change
MSC1891003019,8/28/2018,Case Was Received,April 16 2018,I-765,No Change
MSC1891003178,8/28/2018,Case Was Received,April 16 2018,I-765,No Change
MSC1891002630,8/28/2018,Case Was Received,April 17 2018,I-131,No Change
MSC1891002631,8/28/2018,Case Was Received,April 17 2018,I-765,No Change
MSC1891002957,8/28/2018,Fees Were Waived,April 17 2018,I-765,No Change
MSC1891003135,8/28/2018,Case Was Received,April 17 2018,I-765,No Change
MSC1891002785,8/28/2018,Case Was Received,April 18 2018,I-485,No Change
MSC1891003233,8/28/2018,Case Was Received,April 18 2018,I-765,No Change
MSC1891002643,8/28/2018,Case Was Received,April 19 2018,I-765,No Change
MSC1891002646,8/28/2018,Case Was Received,April 19 2018,I-765,No Change
MSC1891003296,8/28/2018,Case Was Received,April 20 2018,I-131,No Change
MSC1891002824,8/28/2018,Case Was Received,April 23 2018,I-130,No Change
MSC1891002825,8/28/2018,Case Was Received,April 23 2018,I-765,No Change
MSC1891002826,8/28/2018,Case Was Received,April 23 2018,I-131,No Change
MSC1891003180,8/28/2018,Case Was Received,April 23 2018,I-130,No Change
MSC1891002612,8/28/2018,Case Was Received,April 24 2018,I-130,No Change
MSC1891002615,8/28/2018,Case Was Received,April 24 2018,I-130,No Change
MSC1891002617,8/28/2018,Case Was Received,April 24 2018,I-131,No Change
MSC1891002619,8/28/2018,Case Was Received,April 24 2018,I-130,No Change
MSC1891002620,8/28/2018,Case Was Received,April 24 2018,I-765,No Change
MSC1891002623,8/28/2018,Case Was Received,April 24 2018,I-130,No Change
MSC1891002624,8/28/2018,Case Was Received,April 24 2018,I-765,No Change
MSC1891002625,8/28/2018,Case Was Received,April 24 2018,I-131,No Change
MSC1891002628,8/28/2018,Case Was Received,April 24 2018,I-765,No Change
